Cycles,Voltage_V,Current_A,Temperature_C,Internal_Resistance_mOhm,Capacity_Ah,SOH
657,3.65,1.29,27.3,56.6,44.28,86.08
494,4.01,2.59,30.4,52.5,44.75,88.76
654,4.04,0.76,34.2,57.3,42.72,85.72
805,3.98,1.04,46.5,67.2,42.53,79.61
462,3.6,1.95,36.9,53.1,45.67,90.21
846,3.58,1.08,43.6,60.1,41.23,79.67
607,3.97,0.76,34.4,56.9,44.06,88.25
753,3.4,4.39,26.3,56.6,41.56,84.77
984,4.15,4.82,35.4,71.7,40.53,79.78
1371,3.49,4.17,44.9,86.3,37.19,68.75
1622,3.25,0.74,24.1,99.4,34.01,67.77
624,3.54,0.51,21.5,50.7,43.22,89.2
1979,3.5,1.22,28.8,110.7,29.32,61.63
467,4.02,1.97,44,46.2,45.33,87.29
1364,3.72,1.06,49.3,86.8,36.95,68.76
1668,3.44,2.62,37.7,99.7,34.19,66.02
86,3.65,1.1,40.1,31.3,50.05,95.19
1807,3.58,0.8,28.4,104.1,32.63,62.89
795,3.89,4.19,44.1,60.6,42.43,80.4
1687,3.88,3.64,47.9,94.2,32.17,62.83
1189,3.62,2.24,37.6,77.8,38.33,72.77
55,3.31,4.23,36,28.2,50,98.13
250,3.75,0.53,40.8,40.9,46.98,92.84
209,4.05,2.47,26.3,38,47.4,95.99
878,3.7,2.89,38.4,68.3,40.6,80.95
1489,3.21,4.28,36.2,90.8,35.57,70.07
133,3.9,3.58,32.7,34.8,49.6,94.31
1479,3.45,2.28,37.2,93.2,35.8,70.43
1216,3.68,3.53,41.8,76.8,38.24,72.65
1912,4.2,0.55,49.5,103.3,30.69,57.53
1127,3.25,2.91,22.7,77.4,38.42,75.89
341,3.27,2.34,24.9,43.5,46.67,92.47
830,3.57,3.87,46.4,62.2,41.58,81.44
356,3.45,2.79,24.6,46.2,46.06,92.94
1272,3.99,4.97,35.2,83.4,37.96,75
468,3.3,3.62,47.8,50.6,45.64,88.32
594,3.31,3.09,22.1,53,44.01,89.05
104,3.33,1.79,41.7,38,49.36,94.27
812,3.6,1.04,48.7,65.6,41.86,81.8
598,4.02,2.83,47.3,50.1,43.43,86.57
635,3.44,0.55,40.2,58.4,44.11,83.58
699,3.62,3.62,49.2,59.4,42.89,82.01
183,3.56,1.16,45,35.3,47.56,92.38
792,3.8,1.84,44.7,60.7,41.74,83.01
1376,3.56,2.87,33,82.4,37.22,70.62
1740,3.44,2.16,33.2,100.3,33.24,64.66
1828,3.83,1.22,26.5,107.4,32.21,61.69
1502,3.39,1.17,41.5,92.5,34.8,68.79
1827,3.76,1.87,35.6,101.6,32.06,61.35
1960,3.84,0.56,27,113.3,31.29,60.17
772,4.14,3.97,47.4,62,42.2,81.63
1068,4.07,1.98,42.3,72.7,40.01,77.61
1519,4,4.29,35.5,88.1,34.28,69.67
1529,3.49,2.59,47.6,96,35.32,64.33
303,3.55,1.78,38.5,45.1,46.81,90.54
1102,3.39,0.75,43.6,71.4,38.71,76.48
425,3.44,3.56,45.4,49.6,45.2,87.68
1231,4.14,4.93,48.1,74.4,38.35,69.94
482,3.51,0.74,48.9,48.8,46.07,87.96
1758,4.2,3.67,29,99.6,32.84,63.35
582,3.31,2.62,33.4,53.1,44.67,87.43
1723,3.62,1.66,33,98.8,31.94,65.2
628,4.04,0.72,45.7,52.9,44.32,82.85
1738,4.01,4.18,28.4,99.4,32.74,65.97
241,3.38,1.88,23.7,37.4,48.09,96.59
1887,4.1,2.54,47.4,102.5,31.18,58.69
458,3.53,0.6,24.6,46.9,45.99,92.04
1172,3.65,1,45.9,72.4,38.94,72.94
1926,3.45,1.28,45.3,103.2,31.42,57.53
254,4.02,3.17,42.2,42.2,46.64,93.41
1436,4.03,3.84,35.9,82.6,35.11,70.32
371,3.84,2.84,24,46,46.42,94.65
525,3.96,1.21,36.7,48.8,44.17,87.03
647,3.45,2.75,48.3,58,43.92,82.5
1190,3.57,3.47,23.8,79,38.26,76.04
713,3.58,1.63,20.6,59.8,42.12,86.86
99,4.15,0.67,35.3,32.5,49.21,94.48
1397,3.28,0.56,48.5,86.2,36.66,69.04
1338,4.16,1.87,35.8,83.8,35.8,72.82
537,4.06,4.27,21,53.1,43.8,89.73
405,3.24,1.83,24.8,47.2,46.35,93.92
890,4.16,2.67,27.6,64.2,40.63,79.81
454,3.61,0.59,39.1,45.6,45.81,89.5
76,3.81,1.27,33,33.5,48.93,98.51
1286,3.79,2.97,24.5,85.4,37.54,72.69
1417,4.19,2.75,20.4,84.3,36.06,72.66
638,3.41,4.44,35.9,57.4,43.27,85.2
1901,3.89,2.81,30.2,109.3,31.84,60.57
521,4.06,3.2,23.6,48.9,44.86,87.91
301,3.34,4,32.9,46.1,47.95,90.91
1816,3.97,4.64,44.9,106.3,32.4,59.22
664,3.24,0.51,47.2,56.3,43.61,83.34
1100,4.12,1.45,43.4,74.9,38.34,75.28
662,3.51,1.09,26.1,61.2,44.07,87.33
1196,3.94,1.48,20,82.3,38.24,77.94
1989,3.52,4.79,40.5,110.6,30.06,57.9
671,4,1.82,27.5,56,43.7,87.92
88,3.39,2.89,44.4,36.6,48.36,95.29
1874,3.62,2.33,29.7,100.6,30.34,61.76
1147,3.56,4.81,42.6,80.1,39.41,75.15
1796,3.99,4.48,45.6,103.5,32.5,59.67
1972,3.74,2.23,44,110.1,31.17,59.2
391,4.06,2.04,40.5,44.3,46.14,91.67
1274,3.87,3.02,34.1,85.9,36.71,74.13
231,3.87,1.68,41.1,44,48.65,94.32
919,3.53,3.23,45.3,61.8,41.35,79.67
1728,4.09,1.92,26.4,94.2,32.3,65.65
1557,3.39,0.7,41.8,87.7,34.3,66.18
791,3.83,2.47,29,60.3,42.21,82.38
384,3.84,3.22,44.2,44,45.29,88.11
1683,3.44,3.45,44.8,98.4,33.59,63.87
135,3.6,3.07,42.4,33,48.12,94.57
269,3.48,1.53,33,42.6,47.39,94.75
304,3.57,4.13,45.2,40,47.84,89.8
517,4.11,3.29,20.6,46.3,45.43,92.05
951,4.1,1.5,33.9,67,39.6,81.63
1988,3.7,3.87,31.5,108.2,29.24,60.12
1005,4.08,4.13,24.4,65.6,40.11,78.63
485,4.08,1.53,26.1,53.2,45.97,90.47
769,3.96,0.5,30.6,60.6,42.34,83.22
1954,3.57,5,20.6,107.2,31.03,62.29
341,3.48,3.77,26.9,46.6,47.1,93.51
1142,3.41,1.07,23.3,78.2,38.94,79.26
1174,3.63,4.5,44.7,81.7,38.82,72.15
724,3.22,4.47,20,61,42.83,88.03
926,3.6,2,30.2,62.8,39.88,79.78
1501,3.76,3.97,22.9,89.8,35.97,71.43
1871,3.27,4.27,22.1,102.4,31.56,64.64
467,3.3,3.11,32.7,45.2,44.65,88.84
1973,3.86,1.64,21.8,107.9,29.4,60.93
698,4.19,1.19,44.7,60.8,43.32,81.71
838,3.8,2.38,39.2,68.3,42.08,80.42
17,4.07,3.3,43.8,29.5,49.89,95.6
1439,3.33,4.37,31.8,87.5,36.18,69.5
1437,3.39,3.43,29.1,87.3,35.8,72.25
1470,4.08,1.12,37.1,87.8,35.36,67.56
973,3.9,0.97,42.2,71.4,39.72,78.55
1378,4.18,1.02,27.4,86.3,36.3,73.96
1639,4.03,0.94,34.3,96.2,33.08,64.06
1271,3.48,0.68,42.8,82.7,37.63,71.56
664,3.64,4.23,27.3,55.4,43.28,85.86
574,4.11,3.98,42,56.8,45.03,85.25
1851,3.3,1.63,22.7,104.4,32.08,63.6
636,3.88,2.3,34,53.1,44.1,85.5
302,4.17,4.3,44.3,41.7,46.89,90.54
600,3.78,3.12,42.4,56.7,44.08,85.66
298,3.37,3.63,34.9,37.6,46.9,94.26
1641,3.79,1.53,28.9,92.6,33.01,65.19
953,3.94,4.85,37,69,40.75,80.57
337,3.73,4.94,20.9,38.5,45.86,94.77
652,4.04,3.95,27.1,52,43.11,86.02
973,3.53,4.43,34.7,67.9,40.64,78.86
1729,3.58,0.63,48.9,102.5,31.96,63.1
737,3.24,1.69,37.4,55.7,42.51,81.46
285,3.3,4.44,46.3,41.3,46.91,92.06
198,4.04,4.23,36.6,36.4,48.11,95.32
169,4.05,2,29.7,32.7,48.81,97.56
386,3.67,2.35,27.6,48.9,47.07,92.03
951,3.88,2.03,40.4,72,39.9,77.75
1578,3.41,0.65,20.3,91.3,34.03,67.27
837,3.85,1.91,27.6,63.4,41.58,81.52
404,4.03,3.47,41.4,50.7,45.15,89.42
1860,3.24,0.56,31.4,100.3,31.29,62.46
1559,3.51,4.82,40.3,95.9,35.33,66.43
1615,3.75,0.55,23.6,92.5,34.84,67.33
1382,3.53,3.56,25,86.1,36.57,71.15
1649,3.78,1.88,48.2,94.7,33.53,61.96
827,3.84,4.75,20.3,64.2,42.19,85.08
1566,3.83,3.96,24.4,88.2,33.9,67.54
1923,4.12,3.37,32,108.4,29.87,60.09
1105,4.1,0.54,46.1,73.5,38.16,76
1737,3.64,3.86,28,103.5,33.24,63.08
1276,4.17,2.87,40.4,83.9,36.48,72.59
552,3.54,2.4,43.5,50.9,43.67,86.7
1222,3.21,3.18,45.1,76.5,37.07,73.34
1177,3.69,1.51,23.5,76.8,38.07,77.93
1600,4.03,1.97,32.3,89.4,33.19,67.93
1500,3.94,2.45,30.6,86,34.66,70.11
702,3.83,4.09,43.1,55.7,43.33,84.27
635,3.86,0.69,22.6,54,42.87,87.12
1732,3.47,4.47,23.6,94.7,32.69,66.35
1093,3.79,3.07,27,71.3,38.76,78.43
286,3.45,3.71,46.1,38.6,47.15,89.65
1327,3.55,4.78,29.7,79.8,36.46,72.79
1592,3.29,1.35,46.1,92.1,33.37,65.82
1372,3.78,3.27,37.9,80.2,36.56,70.8
833,4.03,2.82,23.5,61.3,41.84,83.81
1060,3.44,0.79,43.1,69.4,40.05,76.19
354,3.41,3.11,38.3,42,46.14,91.89
1358,3.99,2.69,26,79.8,36.28,71.92
95,3.87,2.68,29.4,29.7,49.45,97.47
1501,3.23,4.43,21.5,92.8,34.33,70.15
899,3.3,3.28,29.3,68.7,40.31,83.36
180,3.78,0.57,45.8,38.6,48.34,91.56
1002,3.99,0.85,23.5,74.8,39.57,81.42
1313,4.18,1.96,36.4,85.9,36.14,70.65
1802,3.66,3.68,45.7,100.4,32.04,61.27
93,3.38,4.56,21.8,31.8,49.87,100
87,4.08,1.63,36.7,36.3,49.91,95.06
1005,3.99,2.27,49.9,69.3,40.76,75.11
1585,3.36,1.18,47.3,93.6,33.77,65.58
1858,3.78,3.62,22.5,101.9,30.77,63.7
1916,3.25,1.8,38.5,103.8,31.24,59.59
1890,3.41,1.32,22.9,104.9,30.42,62.83
647,4.08,3.22,36.1,60.3,42.99,84.22
774,3.97,1.51,31,63.8,42.88,83.04
812,3.21,4.13,21.6,65.2,42.23,83.36
720,3.89,2.53,44.2,54.8,42.31,82.93
1690,3.59,1.67,29.5,102.5,32.47,66.48
1029,3.35,3.91,26.6,70.1,39.13,78.76
28,3.45,2.45,30.6,33.6,50.65,97.56
1103,3.81,2.22,27,70.4,38.76,76.91
14,3.61,1.84,32.1,32.8,50.41,99.85
1732,4.15,1.37,33.9,101.2,32.88,64.92
1638,3.4,3.29,33,93.6,34.53,64.19
1135,3.37,1.99,28.5,71.5,37.88,76.53
1728,3.31,3.3,20.6,97.1,31.74,67.53
1398,3.39,1.18,48,87.2,35.89,68.77
1482,3.86,3.63,48.6,88,34.79,67.9
1460,4.12,4.02,42.5,93.3,35.37,69.88
1637,4.02,0.91,48.2,97.7,34.21,65.31
147,3.86,3.81,24,34.2,47.53,97.72
1543,3.98,1.77,47.6,93.6,35.16,65.44
161,3.58,3.32,36.2,32.6,48.52,95.72
405,3.88,3.46,20.6,49.1,46.29,94.11
1910,3.22,4.67,35.9,107.1,29.9,61.59
978,3.61,3.28,30.4,70.3,40.21,78.43
538,4.06,2.52,34.2,50.6,45.11,89.34
1380,3.32,4.21,25.8,86.5,36.81,73.04
491,3.99,3.06,25.2,54.3,46.06,91.65
691,3.23,1.89,36.8,55.6,43.84,84.3
1545,3.79,1.44,36.6,93.7,34.78,67.45
1494,4.18,1.14,31.6,93.8,34.56,67.65
1840,3.77,3.42,36.4,105.3,30.64,61.82
1556,3.27,0.78,47.9,92.9,35.13,64.7
1017,3.64,2.4,32.9,67.2,40.58,78.42
863,3.5,3.22,27.1,60.8,41.62,84.11
974,3.88,2.08,38.7,72.4,39.28,77.62
1188,3.78,2.94,32.8,74.2,37.41,74.31
1735,3.46,3.42,39.9,98.3,31.93,61.08
1156,3.57,3.77,29.7,76,37.64,75.47
1150,3.94,1.86,43.9,79.5,39.21,73.97
46,3.79,1.97,46.4,36.4,49.25,95.56
512,3.39,0.85,46.5,51.6,44.83,86.03
1329,3.23,1.58,49.8,87.8,35.76,70.17
1120,4.01,2.7,49,78.7,37.82,74.72
1349,3.21,3.47,30.9,85.7,36.22,73.69
1635,3.48,2.96,37.5,93.3,34.45,64.99
1910,3.67,3.16,42.9,110.4,30.98,60.28
1022,4.13,2.85,40.6,66,39.24,76.84
343,4.19,3.75,31.5,45.1,46.74,92.51
910,3.37,0.8,29.2,69.8,41.55,80.55
1822,3.28,2.16,29.7,98.4,32.02,64.7
1528,4.2,4.28,47.8,88.7,35.16,64.88
1629,4.08,3.14,37.8,90.3,34.1,65.11
814,3.76,3.53,47.7,65.1,41.33,82.21
403,4.1,5,31.8,48.8,45.84,92.86
268,4.19,1.95,24.9,40.1,47.28,92.69
1729,3.54,2.47,45.3,96,33.45,63.69
1885,4.07,2.46,40.4,105,31.06,60.81
192,3.95,4.77,48.1,41.5,48.39,90.97
1601,4.06,1.26,23.8,95.2,33.73,69.89
1058,3.27,4.31,45.9,71.2,39.28,74.58
770,3.79,2.18,24.5,59.7,42.45,86.38
909,3.4,0.5,37.6,66.7,41.46,80.64
639,4.14,3.28,43.9,52.2,43.54,83.03
563,3.4,4.67,46.2,54.4,43.59,84.58
1945,3.39,1.95,28.2,106.7,29.69,59.51
498,3.42,0.91,27.7,54.8,45.88,90.2
587,3.69,1.14,46.8,54.6,44,86.34
524,3.98,3.39,26.4,50.9,44.68,89.09
163,3.49,0.78,23.2,38,48.41,95.72
484,3.55,2.71,45.9,49,45.1,87.61
234,3.84,4.71,23.8,37.4,46.78,96.61
534,4.17,2.71,36.9,50.2,44.22,89.29
43,3.99,1.13,24.2,28.1,49.63,99.11
1439,4.01,4.2,21.1,92.6,34.83,70.95
82,3.41,1.97,30.7,38,48.74,96.79
1336,3.83,1.84,31.5,80.1,36.28,71.9
21,4.1,3.24,23.1,35.1,50.08,100
1972,3.78,1.91,43.4,110.8,30.99,57.54
356,3.75,1.41,23.6,44.3,47.4,93.57
1089,3.71,0.99,44,69.5,39.93,75.38
938,3.25,4.31,27.6,70.7,39.83,80.43
902,3.37,0.97,34.6,63.1,41.71,80.34
1763,4.03,4.74,47.8,98.6,33.36,59.86
774,3.78,3.8,36,61.1,42.36,84.57
1947,3.68,4.5,49.1,108.1,31.37,56.35
1330,3.68,1.59,48.5,87.3,37.44,70.58
1726,3.75,3.83,21.8,94.2,32.07,64.48
592,4.08,4.09,49.5,56.1,45.03,83.07
733,3.85,3.03,21.3,60.4,43.11,85.94
585,3.46,0.93,20.8,50.6,44.75,88.62
1777,3.45,2.01,22.5,102.5,31.3,63.14
603,3.97,1.23,37.3,51.4,43.33,85.48
753,3.97,3.52,20.4,57.5,41.48,84.52
505,4.05,4.97,20.1,53.1,44.72,91.87
443,3.67,1.93,37.9,52,45.8,88.22
398,3.63,4.24,33.3,44.3,46.09,89.33
1975,3.26,4.3,23,112.3,30.64,62.23
1505,3.98,2.85,38.9,85.9,34.34,67.59
457,4,2.42,36.6,50.6,45.68,90.26
414,3.62,2.64,37.7,49,44.99,87.92
974,3.32,4.52,28.7,71.1,39.31,79.82
673,3.34,1.95,38.5,58.6,43.17,82.52
131,3.97,0.76,36.3,33,49.38,94.1
845,3.21,4.41,44.6,67.1,41.66,81.3
1887,3.92,0.93,37.4,109.9,30.75,61.52
1138,3.74,4.21,22.5,79.4,39.41,78.4
1342,3.31,2.05,46.7,81.2,37.26,68.52
1562,3.39,2,27.4,91.9,35.34,69.4
1355,3.55,1.71,29.6,80.2,36.03,70.94
639,4.06,4.3,23.5,52.2,42.67,86.16
673,4.1,3.09,29.9,55.8,43.49,86.84
874,3.84,1.81,23.8,63.8,41.35,82.53
1658,3.73,2.62,30.7,92.8,34.41,67.51
1161,3.22,4.59,37.1,75.4,38.69,73.89
202,3.79,4.53,22.4,39.8,47.51,96.31
1079,3.95,1.59,44.3,77.8,38.7,75.73
1577,3.89,0.59,20.5,91.3,34.61,68.48
208,4.18,1.97,35.5,39.7,48.1,93.85
312,3.92,2.52,42.9,39.5,47.55,90.67
1999,3.52,2.16,20.2,106.4,29.94,61.11
66,3.41,3.48,44,37.2,49.93,97.73
1259,3.84,2.16,33.2,80.7,36.98,75.45
706,3.23,4.61,46.1,56.7,42.69,84.35
1194,3.59,3.05,28.8,75.9,38.17,75.85
1025,3.43,2.25,37.2,67.2,39.81,77.95
810,4.15,3.29,20.2,66.5,42.49,82.89
1700,3.49,3.11,39,93.1,33.84,62.19
1249,3.67,2.19,22.9,79.6,36.68,74.72
1337,4.17,0.69,36.7,81.1,35.83,70.69
348,3.92,4.74,44,40.3,45.93,91.03
1796,3.55,2.36,46.7,99.6,32.57,59.11
1148,3.35,4.03,39.4,75.5,39.12,74.75
1326,3.67,2.02,27.1,79.5,37.46,73.6
886,3.43,2.94,36.6,62.9,41.03,82.38
106,3.75,3.25,21.8,34.8,49.36,100
1976,4.03,0.94,33.6,107.5,29.35,60.02
282,3.57,2.8,25.4,39.8,46.77,93.36
595,3.39,2.52,24.4,49.9,43.4,86.79
51,4.01,4.15,31.9,31.1,49.88,99.14
438,3.3,1.69,37,45,45.19,91.09
1448,3.33,1,46.1,84,35.48,67.21
74,3.56,5,24.8,35.4,49.69,96.63
709,3.77,3.25,36.9,55.9,43.85,84.75
1279,4.12,1.67,49.9,78.4,37.99,70.27
945,3.6,4.78,29.1,68.9,39.98,81.39
760,3.53,3.5,21.5,56.2,42.19,85.43
1858,3.79,4.81,36,101.1,30.71,61.71
401,4.06,4.43,20.5,46.7,46.92,91.7
19,3.62,2.24,45.2,34.3,49.54,97.24
238,3.66,4.55,28.9,42.1,48.03,95.21
1583,4.11,3.99,21.5,94.6,33.84,66.88
475,4.18,4.49,25.8,47.9,45.91,89.24
1970,3.93,2.41,38,106.1,30.84,56.74
942,3.77,1.28,45.8,63.5,40.95,76.6
1884,3.35,3.85,28.3,108.9,32.07,62.02
1587,4.02,3.86,34.7,96.4,35,68.08
1131,4.11,2.49,37.2,72,37.7,75.51
388,3.83,2.79,23.3,47,45.72,93.26
493,3.87,4.67,21.3,52.7,45.02,90.75
1098,3.39,1.25,32.1,69.2,38.64,77.09
10,3.23,3.24,28.9,27.1,48.96,99.01
227,3.8,4.47,25.9,37.2,47.22,93.92
1333,3.65,3.8,48.3,80.5,37.19,70.27
251,3.33,0.94,23,39.1,48.41,95.95
1071,4.14,3.37,33.2,69.2,39.43,77.2
1949,3.76,3.27,20.3,107.1,31.12,63.34
1005,3.28,3.4,21.6,65.9,39.58,81.84
1083,3.57,3.68,36.5,69.2,38.78,76.61
100,4.17,1.26,49.7,35.4,48.82,93.6
839,4.08,3.54,44.6,60.5,41.02,79.79
1676,3.98,1.69,24.9,99.9,33.99,66
555,3.26,3.48,47.3,54.5,43.88,85.41
596,3.63,4.3,41.9,54.1,43.99,83.8
1352,3.25,3.55,37,86.8,36.58,71.23
1592,3.78,3.25,20.1,92.4,34.41,67.43
1929,3.48,4.88,22.1,102.7,30.32,61.22
1418,3.25,0.73,41.8,86.7,36.19,67.97
1857,3.48,1.55,35.3,101.3,30.62,60.4
841,3.52,1.46,20.2,65.2,41.13,82.75
768,3.96,3.17,49.9,61.2,41.56,82.34
192,4.1,1.21,22.9,41.2,47.14,96.8
1056,3.27,3.57,40.8,74.1,40.37,75.89
702,4.09,4.02,27.7,61.1,42.55,85.19
1691,4.01,4.44,22.2,99.5,32.85,65.35
1778,4.19,1.31,36.4,96.5,32.25,62.33
423,3.27,0.57,33.4,47,45.54,88.6
1412,3.49,2.09,36.1,89.7,34.89,71.34
1325,3.85,4.63,32.8,84.9,36.59,73.59
375,3.29,0.92,45.7,42,45.42,88.83
370,3.88,3.34,37.5,43.5,46.8,90.27
224,3.81,0.78,34.5,39.4,48.07,92.28
319,3.68,1.53,48.1,47.1,46.06,91.5
1524,4.19,3.52,40.5,95.7,34.35,68.18
1311,3.93,4.71,42.1,83.3,36.94,72.37
994,3.78,0.8,32.6,72.5,40.02,77.51
474,3.78,3.4,23.6,49.2,44.38,91.76
1187,3.62,3.56,47,73.6,38.38,71.21
1337,3.86,2.42,35.6,81.1,37.5,71.74
643,3.82,4.33,29.7,59.1,42.58,85.91
161,3.73,2.36,37.6,40.5,48.24,93.23
864,3.23,4.96,32.7,67.5,40.89,82.13
1855,3.72,2.76,29.7,102,31.72,63.1
1610,3.77,4.47,31.1,95.6,34.46,67.69
207,4.1,1.28,42.3,38.3,48.74,94.08
1196,3.73,2.24,49,79.9,37.43,73.4
957,4.05,4.6,37.4,66.6,41.42,79.79
812,3.21,3.35,32.5,63.7,42.63,84.4
825,3.65,2.76,33.3,67.4,41.19,83.36
783,4.14,1.92,21.5,63.3,41.32,83.04
337,3.68,1.1,31.9,47.4,47.56,91.77
1868,3.92,4.39,48.1,107.8,31.19,60.14
1898,3.46,4.08,42.8,107.7,30.58,60.01
354,3.32,2.89,35.4,44.1,47.43,90.49
1306,3.94,3.49,24.3,85.5,37.94,73.16
1583,3.56,4.53,47.2,92.1,34.31,65.44
1392,4.11,2.66,33.3,87.7,35.51,69.18
159,3.67,1.93,41,36.6,48.57,94.18
34,3.35,1.41,35.6,27.8,49.51,98.07
1088,3.74,2.74,33.3,70.8,39.49,78.55
1472,3.74,1.39,49.8,89.9,35.85,65.66
1613,3.42,4.72,25.9,96.3,33.1,66.78
1687,3.55,1.85,36,93.3,32.21,65.55
1000,3.57,3.15,29.4,66.4,40.59,78.03
1904,3.26,2.04,24.9,107.1,31.91,63.04
442,3.31,2.94,41,46.5,45.74,89.24
1967,3.37,4.1,33.5,110,30.45,60.23
1091,3.45,0.55,44.9,71.3,38.45,74.67
117,3.84,2.07,43.2,33.1,49.44,96.29
1579,4.05,1.67,46.8,91.1,34.51,64.35
1565,3.2,2.66,33.5,90.4,33.48,66.15
1561,4.07,4.02,44.2,96.7,33.62,67.2
1411,3.53,2.22,44.7,81.7,34.93,67.69
1784,3.68,3.99,20.8,105,33.13,64.83
1155,4.18,0.64,31.4,75.8,37.82,74.75
1402,3.69,4.64,46.4,87.6,36.63,70.48
1045,4.1,2.79,29.2,76.4,39.91,79.57
1578,3.89,2.18,40.5,92.9,35.22,66.95
1536,3.73,4.68,49.5,96.1,34.25,64.62
178,3.97,3.65,34.7,33.6,48.1,94.45
490,3.24,4.61,39,54.5,44.37,89.72
813,3.8,2.34,20.7,61.9,41.69,83.64
453,3.33,1.46,27,53,46.27,89.73
871,3.84,3.97,29.8,66.8,41.24,80.02
1282,3.56,2.11,25.6,80.7,37.92,74.34
888,3.62,1.45,38.6,69.6,41.41,81.62
1756,3.91,2.46,31.7,103,33.34,65.51
641,3.56,3.14,20.8,52.9,43.56,87.98
1130,3.4,3.34,44.8,75.8,39.49,76.35
1182,3.41,2.55,21.9,72.6,37.93,77.5
1828,3.57,1.16,27.5,106.9,32.15,61.57
451,3.27,0.55,41.3,43.4,45.04,88.73
1641,3.7,3.43,24.4,94.5,33.4,68.46
776,3.91,2.56,49.7,63.6,41.87,79.48
1329,4.07,0.83,44.2,82.2,37.28,71.98
1099,3.46,2.4,36.6,69.4,38.86,74.55
699,3.44,1.01,48.8,58.2,43.57,83.39
294,3.49,1.96,44.3,43.6,46.66,93.01
165,3.73,1.67,29.6,35.3,47.91,97.1
1588,3.7,4.85,40.7,96.5,33.27,64.06
