Battery_ID,Cycles,Voltage_V,Current_A,Temperature_C,Internal_Resistance_mOhm,Capacity_Ah,SOH
B00340,585,3.46,0.93,20.8,50.6,44.75,88.62
B00341,1777,3.45,2.01,22.5,102.5,31.3,63.14
B00342,603,3.97,1.23,37.3,51.4,43.33,85.48
B00343,753,3.97,3.52,20.4,57.5,41.48,84.52
B00344,505,4.05,4.97,20.1,53.1,44.72,91.87
B00345,443,3.67,1.93,37.9,52,45.8,88.22
B00346,398,3.63,4.24,33.3,44.3,46.09,89.33
B00347,1975,3.26,4.3,23,112.3,30.64,62.23
B00348,1505,3.98,2.85,38.9,85.9,34.34,67.59
B00349,457,4,2.42,36.6,50.6,45.68,90.26
B00350,414,3.62,2.64,37.7,49,44.99,87.92
B00351,974,3.32,4.52,28.7,71.1,39.31,79.82
B00352,673,3.34,1.95,38.5,58.6,43.17,82.52
B00353,131,3.97,0.76,36.3,33,49.38,94.1
B00354,845,3.21,4.41,44.6,67.1,41.66,81.3
B00355,1887,3.92,0.93,37.4,109.9,30.75,61.52
B00356,1138,3.74,4.21,22.5,79.4,39.41,78.4
B00357,1342,3.31,2.05,46.7,81.2,37.26,68.52
B00358,1562,3.39,2,27.4,91.9,35.34,69.4
B00359,1355,3.55,1.71,29.6,80.2,36.03,70.94
B00360,639,4.06,4.3,23.5,52.2,42.67,86.16
B00361,673,4.1,3.09,29.9,55.8,43.49,86.84
B00362,874,3.84,1.81,23.8,63.8,41.35,82.53
B00363,1658,3.73,2.62,30.7,92.8,34.41,67.51
B00364,1161,3.22,4.59,37.1,75.4,38.69,73.89
B00365,202,3.79,4.53,22.4,39.8,47.51,96.31
B00366,1079,3.95,1.59,44.3,77.8,38.7,75.73
B00367,1577,3.89,0.59,20.5,91.3,34.61,68.48
B00368,208,4.18,1.97,35.5,39.7,48.1,93.85
B00369,312,3.92,2.52,42.9,39.5,47.55,90.67
B00370,1999,3.52,2.16,20.2,106.4,29.94,61.11
B00371,66,3.41,3.48,44,37.2,49.93,97.73
B00372,1259,3.84,2.16,33.2,80.7,36.98,75.45
B00373,706,3.23,4.61,46.1,56.7,42.69,84.35
B00374,1194,3.59,3.05,28.8,75.9,38.17,75.85
B00375,1025,3.43,2.25,37.2,67.2,39.81,77.95
B00376,810,4.15,3.29,20.2,66.5,42.49,82.89
B00377,1700,3.49,3.11,39,93.1,33.84,62.19
B00378,1249,3.67,2.19,22.9,79.6,36.68,74.72
B00379,1337,4.17,0.69,36.7,81.1,35.83,70.69
B00380,348,3.92,4.74,44,40.3,45.93,91.03
B00381,1796,3.55,2.36,46.7,99.6,32.57,59.11
B00382,1148,3.35,4.03,39.4,75.5,39.12,74.75
B00383,1326,3.67,2.02,27.1,79.5,37.46,73.6
B00384,886,3.43,2.94,36.6,62.9,41.03,82.38
B00385,106,3.75,3.25,21.8,34.8,49.36,100
B00386,1976,4.03,0.94,33.6,107.5,29.35,60.02
B00387,282,3.57,2.8,25.4,39.8,46.77,93.36
B00388,595,3.39,2.52,24.4,49.9,43.4,86.79
B00389,51,4.01,4.15,31.9,31.1,49.88,99.14
B00390,438,3.3,1.69,37,45,45.19,91.09
B00391,1448,3.33,1,46.1,84,35.48,67.21
B00392,74,3.56,5,24.8,35.4,49.69,96.63
B00393,709,3.77,3.25,36.9,55.9,43.85,84.75
B00394,1279,4.12,1.67,49.9,78.4,37.99,70.27
B00395,945,3.6,4.78,29.1,68.9,39.98,81.39
B00396,760,3.53,3.5,21.5,56.2,42.19,85.43
B00397,1858,3.79,4.81,36,101.1,30.71,61.71
B00398,401,4.06,4.43,20.5,46.7,46.92,91.7
B00399,19,3.62,2.24,45.2,34.3,49.54,97.24
B00400,238,3.66,4.55,28.9,42.1,48.03,95.21
B00401,1583,4.11,3.99,21.5,94.6,33.84,66.88
B00402,475,4.18,4.49,25.8,47.9,45.91,89.24
B00403,1970,3.93,2.41,38,106.1,30.84,56.74
B00404,942,3.77,1.28,45.8,63.5,40.95,76.6
B00405,1884,3.35,3.85,28.3,108.9,32.07,62.02
B00406,1587,4.02,3.86,34.7,96.4,35,68.08
B00407,1131,4.11,2.49,37.2,72,37.7,75.51
B00408,388,3.83,2.79,23.3,47,45.72,93.26
B00409,493,3.87,4.67,21.3,52.7,45.02,90.75
B00410,1098,3.39,1.25,32.1,69.2,38.64,77.09
B00411,10,3.23,3.24,28.9,27.1,48.96,99.01
B00412,227,3.8,4.47,25.9,37.2,47.22,93.92
B00413,1333,3.65,3.8,48.3,80.5,37.19,70.27
B00414,251,3.33,0.94,23,39.1,48.41,95.95
B00415,1071,4.14,3.37,33.2,69.2,39.43,77.2
B00416,1949,3.76,3.27,20.3,107.1,31.12,63.34
B00417,1005,3.28,3.4,21.6,65.9,39.58,81.84
B00418,1083,3.57,3.68,36.5,69.2,38.78,76.61
B00419,100,4.17,1.26,49.7,35.4,48.82,93.6
B00420,839,4.08,3.54,44.6,60.5,41.02,79.79
B00421,1676,3.98,1.69,24.9,99.9,33.99,66
B00422,555,3.26,3.48,47.3,54.5,43.88,85.41
B00423,596,3.63,4.3,41.9,54.1,43.99,83.8
B00424,1352,3.25,3.55,37,86.8,36.58,71.23
B00425,1592,3.78,3.25,20.1,92.4,34.41,67.43
B00426,1929,3.48,4.88,22.1,102.7,30.32,61.22
B00427,1418,3.25,0.73,41.8,86.7,36.19,67.97
B00428,1857,3.48,1.55,35.3,101.3,30.62,60.4
B00429,841,3.52,1.46,20.2,65.2,41.13,82.75
B00430,768,3.96,3.17,49.9,61.2,41.56,82.34
B00431,192,4.1,1.21,22.9,41.2,47.14,96.8
B00432,1056,3.27,3.57,40.8,74.1,40.37,75.89
B00433,702,4.09,4.02,27.7,61.1,42.55,85.19
B00434,1691,4.01,4.44,22.2,99.5,32.85,65.35
B00435,1778,4.19,1.31,36.4,96.5,32.25,62.33
B00436,423,3.27,0.57,33.4,47,45.54,88.6
B00437,1412,3.49,2.09,36.1,89.7,34.89,71.34
B00438,1325,3.85,4.63,32.8,84.9,36.59,73.59
B00439,375,3.29,0.92,45.7,42,45.42,88.83
B00440,370,3.88,3.34,37.5,43.5,46.8,90.27
B00441,224,3.81,0.78,34.5,39.4,48.07,92.28
B00442,319,3.68,1.53,48.1,47.1,46.06,91.5
B00443,1524,4.19,3.52,40.5,95.7,34.35,68.18
B00444,1311,3.93,4.71,42.1,83.3,36.94,72.37
B00445,994,3.78,0.8,32.6,72.5,40.02,77.51
B00446,474,3.78,3.4,23.6,49.2,44.38,91.76
B00447,1187,3.62,3.56,47,73.6,38.38,71.21
B00448,1337,3.86,2.42,35.6,81.1,37.5,71.74
B00449,643,3.82,4.33,29.7,59.1,42.58,85.91
B00450,161,3.73,2.36,37.6,40.5,48.24,93.23
B00451,864,3.23,4.96,32.7,67.5,40.89,82.13
B00452,1855,3.72,2.76,29.7,102,31.72,63.1
B00453,1610,3.77,4.47,31.1,95.6,34.46,67.69
B00454,207,4.1,1.28,42.3,38.3,48.74,94.08
B00455,1196,3.73,2.24,49,79.9,37.43,73.4
B00456,957,4.05,4.6,37.4,66.6,41.42,79.79
B00457,812,3.21,3.35,32.5,63.7,42.63,84.4
B00458,825,3.65,2.76,33.3,67.4,41.19,83.36
B00459,783,4.14,1.92,21.5,63.3,41.32,83.04
B00460,337,3.68,1.1,31.9,47.4,47.56,91.77
B00461,1868,3.92,4.39,48.1,107.8,31.19,60.14
B00462,1898,3.46,4.08,42.8,107.7,30.58,60.01
B00463,354,3.32,2.89,35.4,44.1,47.43,90.49
